issue_number,comment


005,"invalid, revert in __BaseStrategy_init"
007,"invalid, expected behavior"
793,"invalid, revert in __BaseStrategy_init, dup of 005"
811,"invalid, revert in __BaseStrategy_init, dup of 005"
816,"invalid, revert in __BaseStrategy_init, dup of 005"
004,"invalid, safeTransferFrom is enough, no need to check allowance"
006,"invalid, safeTransferFrom is enough, no need to check allowance"
973,"invalid, safeTransferFrom protects against this"

987,"invalid, no impact"

133,"invalid, _hasVoiceCreditsLeft was called to check before _qv_allocate"

814,"invalid, expected behavior"
902,"invalid, low likelihood of removing allocator and low impact"
986,"invalid, low likelihood of removing allocator and low impact, dup of 902"
008,"invalid, owner loses access to his wallet is the owner's fault"
984,"invalid"
985,"invalid"
982,"invalid, no clear description of the impact"
981,"invalid, low impact"
980,"invalid, pool manager is trusted to not do malicious things against recipients"
979,"invalid, user's fault"
977,"low"
975,"low"
974,"invalid"
976,"invalid, no valid impact was shown"
972,"invalid, not showing how it will revert and how the fund could be lost, sugguest demonstrate with a PoC"

970,"invalid, Registry is called via proxy"
969,"invalid, out of scope"
804,"invalid, recipient's fault"
968,"invalid, design choice"
967,"invalid, not exactly showing how it's possbile, sugguest demonstrate with a PoC"
966,"invalid, easy to make them match"
033,"invalid, Fee Denominator has nothing to do with token decimals"
964,"invalid, Registry creates Anchor, not the reverse"
963,"invalid, it would be a bug in the newer version of the Registry"
961,"invalid, not a security issue"
960,"invalid, ow"
959,"low because it's more like a user error,but a good sugguestion"
957,"invalid,it has receive"
956,"medium because DoS in core Contract, no fund at risk"
100,"medium because DoS in core Contract, no fund at risk"
387,"medium because DoS in core Contract, no fund at risk"
504,"low,user mistake"
670,"invalid, 0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE is not an address, but just a magic value to represent native ETH"
508,"invalid, 0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE is not an address, but just a magic value to represent native ETH"
955,"invalid, it's the expected behavior"
954,"invalid, batchAllocate is not payable"
953,"invalid"
010,"invalid, very rare case of DoS"
341,"invalid, user's fault"
110,"invalid"
930,"invalid, not showing impact to the fund"
926,"invalid, will be blocked by 'acceptedRecipientId != address(0)'"
938,"invalid, low likelihood and unavoidable of being blacklisted, can easily recover from DoS by change treasury"

806,"invalid, it will revert when transfer fails"
855,"invalid, caller of _transferAmount makes checkes"

931,"invalid, expected behavior"
518,"invalid, expected behavior"

933,"low"
928,"invalid, not a security issue"
927,"invalid, user mistake"
948,"invalid"

020,"low, registerRecipient in current strategies are not consuming ETH, user error if called with ETH"
040,"low, registerRecipient in current strategies are not consuming ETH, user error if called with ETH"
102,"low, registerRecipient in current strategies are not consuming ETH, user error if called with ETH"
925,"low, registerRecipient in current strategies are not consuming ETH, user error if called with ETH"
910,"low, registerRecipient in current strategies are not consuming ETH, user error if called with ETH"
090,"low, registerRecipient in current strategies are not consuming ETH, user error if called with ETH"

942,"invalid, very low amount of fund will be stuck because of division"
896,"invalid, no impact"
897,"invalid, intended behavior"
182,"intended behavior"
094,"invalid"
092,"invalid"
103,"invalid, access control is set in strategies"
909,"invalid, access control is set in strategies"
407,"invalid, access control is set in strategies"

